2024/04/12 20:58:49 ID: 241, Data: 9C18FEFF97FF0FFF, Celsius: 24, A: -0.02, rev/s: -0.292,  rev: -0.669
2024/04/12 20:58:49 ID: 241, Data: 9C18FCFF97FF04FF, Celsius: 24, A: -0.04, rev/s: -0.292,  rev: -0.700
2024/04/12 20:58:49 ID: 241, Data: 9C18FFFF93FFF9FE, Celsius: 24, A: -0.01, rev/s: -0.303,  rev: -0.731
2024/04/12 20:58:49 ID: 241, Data: 9C18F8FF97FFEEFE, Celsius: 24, A: -0.08, rev/s: -0.292,  rev: -0.761
2024/04/12 20:58:49 ID: 241, Data: 9C18FFFF8DFFE2FE, Celsius: 24, A: -0.01, rev/s: -0.319,  rev: -0.794
2024/04/12 20:58:49 ID: 241, Data: 9C18FCFF9CFFD7FE, Celsius: 24, A: -0.04, rev/s: -0.278,  rev: -0.825
2024/04/12 20:58:50 ID: 241, Data: 9C18FDFF91FFCCFE, Celsius: 24, A: -0.03, rev/s: -0.308,  rev: -0.856
2024/04/12 20:58:50 ID: 241, Data: 9C18FEFF97FFC1FE, Celsius: 24, A: -0.02, rev/s: -0.292,  rev: -0.886
2024/04/12 20:58:50 ID: 241, Data: 9C18FBFF93FFB6FE, Celsius: 24, A: -0.05, rev/s: -0.303,  rev: -0.917
2024/04/12 20:58:50 ID: 241, Data: 9C18FEFF96FFABFE, Celsius: 24, A: -0.02, rev/s: -0.294,  rev: -0.947
2024/04/12 20:58:50 ID: 241, Data: 9C18FAFF96FFA0FE, Celsius: 24, A: -0.06, rev/s: -0.294,  rev: -0.978
2024/04/12 20:58:50 ID: 241, Data: 9C18FFFF95FF94FE, Celsius: 24, A: -0.01, rev/s: -0.297,  rev: -1.011
2024/04/12 20:58:50 ID: 241, Data: 9C18FBFF97FF89FE, Celsius: 24, A: -0.05, rev/s: -0.292,  rev: -1.042
2024/04/12 20:58:50 ID: 241, Data: 9C18FFFF93FF7EFE, Celsius: 24, A: -0.01, rev/s: -0.303,  rev: -1.072
2024/04/12 20:58:50 ID: 241, Data: 9C18F9FF95FF73FE, Celsius: 24, A: -0.07, rev/s: -0.297,  rev: -1.103
2024/04/12 20:58:50 ID: 241, Data: 9C18FFFF93FF68FE, Celsius: 24, A: -0.01, rev/s: -0.303,  rev: -1.133
2024/04/12 20:58:51 ID: 241, Data: 9C18FCFF97FF5DFE, Celsius: 24, A: -0.04, rev/s: -0.292,  rev: -1.164
2024/04/12 20:58:51 ID: 241, Data: 9C18FBFF91FF52FE, Celsius: 24, A: -0.05, rev/s: -0.308,  rev: -1.194
2024/04/12 20:58:51 ID: 241, Data: 9C18FFFF99FF46FE, Celsius: 24, A: -0.01, rev/s: -0.286,  rev: -1.228
2024/04/12 20:58:51 ID: 241, Data: 9C18FCFF91FF3BFE, Celsius: 24, A: -0.04, rev/s: -0.308,  rev: -1.258
2024/04/12 20:58:51 ID: 241, Data: 9C18FFFF97FF30FE, Celsius: 24, A: -0.01, rev/s: -0.292,  rev: -1.289
2024/04/12 20:58:51 ID: 241, Data: 9C18FDFF93FF25FE, Celsius: 24, A: -0.03, rev/s: -0.303,  rev: -1.319
2024/04/12 20:58:51 ID: 241, Data: 9C18000094FF1AFE, Celsius: 24, A: +0.00, rev/s: -0.300,  rev: -1.350
2024/04/12 20:58:51 ID: 241, Data: 9C18F8FF9CFF0FFE, Celsius: 24, A: -0.08, rev/s: -0.278,  rev: -1.381
2024/04/12 20:58:51 ID: 241, Data: 9C18000092FF03FE, Celsius: 24, A: +0.00, rev/s: -0.306,  rev: -1.414
2024/04/12 20:58:51 ID: 241, Data: 9C18F9FF96FFF8FD, Celsius: 24, A: -0.07, rev/s: -0.294,  rev: -1.444
2024/04/12 20:58:52 ID: 241, Data: 9C1800008EFFEDFD, Celsius: 24, A: +0.00, rev/s: -0.317,  rev: -1.475
2024/04/12 20:58:52 ID: 241, Data: 9C18FEFF9AFFE2FD, Celsius: 24, A: -0.02, rev/s: -0.283,  rev: -1.506
2024/04/12 20:58:52 ID: 241, Data: 9C18FEFF8BFFD7FD, Celsius: 24, A: -0.02, rev/s: -0.325,  rev: -1.536
2024/04/12 20:58:52 ID: 241, Data: 9C18FEFF9CFFCCFD, Celsius: 24, A: -0.02, rev/s: -0.278,  rev: -1.567
2024/04/12 20:58:52 ID: 241, Data: 9C18FCFF8FFFC1FD, Celsius: 24, A: -0.04, rev/s: -0.314,  rev: -1.597
2024/04/12 20:58:52 ID: 241, Data: 9C18000097FFB6FD, Celsius: 24, A: +0.00, rev/s: -0.292,  rev: -1.628
2024/04/12 20:58:52 ID: 241, Data: 9C18FAFF94FFAAFD, Celsius: 24, A: -0.06, rev/s: -0.300,  rev: -1.661
2024/04/12 20:58:52 ID: 241, Data: 9C18FFFF95FF9FFD, Celsius: 24, A: -0.01, rev/s: -0.297,  rev: -1.692
2024/04/12 20:58:52 ID: 241, Data: 9C18FAFF95FF94FD, Celsius: 24, A: -0.06, rev/s: -0.297,  rev: -1.722
2024/04/12 20:58:53 ID: 241, Data: 9C18FFFF95FF89FD, Celsius: 24, A: -0.01, rev/s: -0.297,  rev: -1.753
2024/04/12 20:58:53 ID: 241, Data: 9C18FCFF95FF7EFD, Celsius: 24, A: -0.04, rev/s: -0.297,  rev: -1.783
2024/04/12 20:58:53 ID: 241, Data: 9C18FFFF95FF73FD, Celsius: 24, A: -0.01, rev/s: -0.297,  rev: -1.814
2024/04/12 20:58:53 ID: 241, Data: 9C18FBFF94FF67FD, Celsius: 24, A: -0.05, rev/s: -0.300,  rev: -1.847
2024/04/12 20:58:53 ID: 241, Data: 9C18FFFF8FFF5CFD, Celsius: 24, A: -0.01, rev/s: -0.314,  rev: -1.878
2024/04/12 20:58:53 ID: 241, Data: 9C18FDFF9EFF51FD, Celsius: 24, A: -0.03, rev/s: -0.272,  rev: -1.908
2024/04/12 20:58:53 ID: 241, Data: 9C18FFFF8CFF46FD, Celsius: 24, A: -0.01, rev/s: -0.322,  rev: -1.939
2024/04/12 20:58:53 ID: 241, Data: 9C18FAFF9AFF3BFD, Celsius: 24, A: -0.06, rev/s: -0.283,  rev: -1.969
2024/04/12 20:58:53 ID: 241, Data: 9C18FDFF90FF30FD, Celsius: 24, A: -0.03, rev/s: -0.311,  rev: -2.000
2024/04/12 20:58:53 ID: 241, Data: 9C18FDFF96FF24FD, Celsius: 24, A: -0.03, rev/s: -0.294,  rev: -2.033
2024/04/12 20:58:56 ID: 241, Data: 9C181700E7011AFC, Celsius: 24, A: +0.23, rev/s: +1.353,  rev: -2.772
2024/04/12 20:58:56 ID: 241, Data: 9C181600CD0366FC, Celsius: 24, A: +0.22, rev/s: +2.703,  rev: -2.561
2024/04/12 20:58:56 ID: 241, Data: 9C181200A104D9FC, Celsius: 24, A: +0.18, rev/s: +3.292,  rev: -2.242
2024/04/12 20:58:57 ID: 241, Data: 9C181700D20456FD, Celsius: 24, A: +0.23, rev/s: +3.428,  rev: -1.894
2024/04/12 20:58:57 ID: 241, Data: 9C181100BE04D3FD, Celsius: 24, A: +0.17, rev/s: +3.372,  rev: -1.547
2024/04/12 20:58:57 ID: 241, Data: 9C181200AF0450FE, Celsius: 24, A: +0.18, rev/s: +3.331,  rev: -1.200
2024/04/12 20:58:57 ID: 241, Data: 9C181D009B04CCFE, Celsius: 24, A: +0.29, rev/s: +3.275,  rev: -0.856
2024/04/12 20:58:57 ID: 241, Data: 9C181D00930446FF, Celsius: 24, A: +0.29, rev/s: +3.253,  rev: -0.517
2024/04/12 20:58:57 ID: 241, Data: 9C1821009704C0FF, Celsius: 24, A: +0.33, rev/s: +3.264,  rev: -0.178
2024/04/12 20:58:57 ID: 241, Data: 9C181F0092043A00, Celsius: 24, A: +0.31, rev/s: +3.250,  rev: +0.161
