2024/04/15 11:03:05 ID: 241, Data: 9C1829003A07EA61, Celsius: 24, A: +0.41, rev/s: +5.139,  rev: +69.628
2024/04/15 11:03:05 ID: 241, Data: 9C191C000807A262, Celsius: 25, A: +0.28, rev/s: +5.000,  rev: +70.139
2024/04/15 11:03:05 ID: 241, Data: 9C18170051075B63, Celsius: 24, A: +0.23, rev/s: +5.203,  rev: +70.653
2024/04/15 11:03:05 ID: 241, Data: 9C191C0010071464, Celsius: 25, A: +0.28, rev/s: +5.022,  rev: +71.167
2024/04/15 11:03:05 ID: 241, Data: 9C1913005107CD64, Celsius: 25, A: +0.19, rev/s: +5.203,  rev: +71.681
2024/04/15 11:03:05 ID: 241, Data: 9C182C00FB068765, Celsius: 24, A: +0.44, rev/s: +4.964,  rev: +72.197
2024/04/15 11:03:05 ID: 241, Data: 9C18110033074166, Celsius: 24, A: +0.17, rev/s: +5.119,  rev: +72.714
2024/04/15 11:03:05 ID: 241, Data: 9C181D000607FA66, Celsius: 24, A: +0.29, rev/s: +4.994,  rev: +73.228
2024/04/15 11:03:05 ID: 241, Data: 9C181C002207B567, Celsius: 24, A: +0.28, rev/s: +5.072,  rev: +73.747
2024/04/15 11:03:06 ID: 241, Data: 9C181700FE066F68, Celsius: 24, A: +0.23, rev/s: +4.972,  rev: +74.264
2024/04/15 11:03:06 ID: 241, Data: 9C18170020072A69, Celsius: 24, A: +0.23, rev/s: +5.067,  rev: +74.783
2024/04/15 11:03:06 ID: 241, Data: 9C1814000F07E369, Celsius: 24, A: +0.20, rev/s: +5.019,  rev: +75.297
2024/04/15 11:03:06 ID: 241, Data: 9C1827001B079E6A, Celsius: 24, A: +0.39, rev/s: +5.053,  rev: +75.817
2024/04/15 11:03:06 ID: 241, Data: 9C1824000807566B, Celsius: 24, A: +0.36, rev/s: +5.000,  rev: +76.328
2024/04/15 11:03:06 ID: 241, Data: 9C1920001807126C, Celsius: 25, A: +0.32, rev/s: +5.044,  rev: +76.850
2024/04/15 11:03:06 ID: 241, Data: 9C1913003B07CC6C, Celsius: 25, A: +0.19, rev/s: +5.142,  rev: +77.367
2024/04/15 11:03:06 ID: 241, Data: 9C183500F906886D, Celsius: 24, A: +0.53, rev/s: +4.958,  rev: +77.889
2024/04/15 11:03:06 ID: 241, Data: 9C1811003107426E, Celsius: 24, A: +0.17, rev/s: +5.114,  rev: +78.406
2024/04/15 11:03:06 ID: 241, Data: 9C181C000E07FE6E, Celsius: 24, A: +0.28, rev/s: +5.017,  rev: +78.928
2024/04/15 11:03:07 ID: 241, Data: 9C1923004A07B86F, Celsius: 25, A: +0.35, rev/s: +5.183,  rev: +79.444
2024/04/15 11:03:07 ID: 241, Data: 9C18160001077470, Celsius: 24, A: +0.22, rev/s: +4.981,  rev: +79.967
