2024/04/12 15:40:19 ID: 241, Data: 9C1A03004504C8F2, Celsius: 26, A: +0.03, rev/s: +3.036,  rev: -9.400
2024/04/12 15:40:19 ID: 241, Data: 9C1A0500440436F3, Celsius: 26, A: +0.05, rev/s: +3.033,  rev: -9.094
2024/04/12 15:40:19 ID: 241, Data: 9C1A01005804A6F3, Celsius: 26, A: +0.01, rev/s: +3.089,  rev: -8.783
2024/04/12 15:40:19 ID: 241, Data: 9C1A1300470414F4, Celsius: 26, A: +0.19, rev/s: +3.042,  rev: -8.478
2024/04/12 15:40:19 ID: 241, Data: 9C1A07004F0483F4, Celsius: 26, A: +0.07, rev/s: +3.064,  rev: -8.169
2024/04/12 15:40:19 ID: 241, Data: 9C1A07005304F1F4, Celsius: 26, A: +0.07, rev/s: +3.075,  rev: -7.864
2024/04/12 15:40:20 ID: 241, Data: 9C1A0900460460F5, Celsius: 26, A: +0.09, rev/s: +3.039,  rev: -7.556
2024/04/12 15:40:20 ID: 241, Data: 9C1A04004804CEF5, Celsius: 26, A: +0.04, rev/s: +3.044,  rev: -7.250
2024/04/12 15:40:20 ID: 241, Data: 9C1A15003B043DF6, Celsius: 26, A: +0.21, rev/s: +3.008,  rev: -6.942
2024/04/12 15:40:20 ID: 241, Data: 9C1A03003604ACF6, Celsius: 26, A: +0.03, rev/s: +2.994,  rev: -6.633
2024/04/12 15:40:20 ID: 241, Data: 9C1B08001E041AF7, Celsius: 27, A: +0.08, rev/s: +2.928,  rev: -6.328
2024/04/12 15:40:20 ID: 241, Data: 9C1A0B00390488F7, Celsius: 26, A: +0.11, rev/s: +3.003,  rev: -6.022
2024/04/12 15:40:20 ID: 241, Data: 9C1A00004704F7F7, Celsius: 26, A: +0.00, rev/s: +3.042,  rev: -5.714
2024/04/12 15:40:20 ID: 241, Data: 9C1A0E00250466F8, Celsius: 26, A: +0.14, rev/s: +2.947,  rev: -5.406
2024/04/12 15:40:20 ID: 241, Data: 9C1A03002C04D4F8, Celsius: 26, A: +0.03, rev/s: +2.967,  rev: -5.100
2024/04/12 15:40:20 ID: 241, Data: 9C1A0500420443F9, Celsius: 26, A: +0.05, rev/s: +3.028,  rev: -4.792
2024/04/12 15:40:21 ID: 241, Data: 9C1A08003104B1F9, Celsius: 26, A: +0.08, rev/s: +2.981,  rev: -4.486
2024/04/12 15:40:21 ID: 241, Data: 9C1A00004A0420FA, Celsius: 26, A: +0.00, rev/s: +3.050,  rev: -4.178
2024/04/12 15:40:21 ID: 241, Data: 9C1A0F0025048FFA, Celsius: 26, A: +0.15, rev/s: +2.947,  rev: -3.869
2024/04/12 15:40:21 ID: 241, Data: 9C1A04003804FDFA, Celsius: 26, A: +0.04, rev/s: +3.000,  rev: -3.564
2024/04/12 15:40:21 ID: 241, Data: 9C1A06001B046CFB, Celsius: 26, A: +0.06, rev/s: +2.919,  rev: -3.256
2024/04/12 15:40:21 ID: 241, Data: 9C1A12003B04DAFB, Celsius: 26, A: +0.18, rev/s: +3.008,  rev: -2.950
2024/04/12 15:40:21 ID: 241, Data: 9C1AFEFF600449FC, Celsius: 26, A: -0.02, rev/s: +3.111,  rev: -2.642
2024/04/12 15:40:21 ID: 241, Data: 9C1A0B001004B8FC, Celsius: 26, A: +0.11, rev/s: +2.889,  rev: -2.333
2024/04/12 15:40:21 ID: 241, Data: 9C1A06006A0426FD, Celsius: 26, A: +0.06, rev/s: +3.139,  rev: -2.028
2024/04/12 15:40:22 ID: 241, Data: 9C1A02002D0494FD, Celsius: 26, A: +0.02, rev/s: +2.969,  rev: -1.722
2024/04/12 15:40:22 ID: 241, Data: 9C1A0400F80301FE, Celsius: 26, A: +0.04, rev/s: +2.822,  rev: -1.419
2024/04/12 15:40:22 ID: 241, Data: 9C1A00008A0363FE, Celsius: 26, A: +0.00, rev/s: +2.517,  rev: -1.147
2024/04/12 15:40:22 ID: 241, Data: 9C1A04002803BBFE, Celsius: 26, A: +0.04, rev/s: +2.244,  rev: -0.903
2024/04/12 15:40:22 ID: 241, Data: 9C1A0500DE0208FF, Celsius: 26, A: +0.05, rev/s: +2.039,  rev: -0.689
2024/04/12 15:40:22 ID: 241, Data: 9C1A00005F024BFF, Celsius: 26, A: +0.00, rev/s: +1.686,  rev: -0.503
2024/04/12 15:40:22 ID: 241, Data: 9C1A0700E20184FF, Celsius: 26, A: +0.07, rev/s: +1.339,  rev: -0.344
2024/04/12 15:40:22 ID: 241, Data: 9C1AFFFFD201B2FF, Celsius: 26, A: -0.01, rev/s: +1.294,  rev: -0.217
2024/04/12 15:40:22 ID: 241, Data: 9C1A0C000401D5FF, Celsius: 26, A: +0.12, rev/s: +0.722,  rev: -0.119
2024/04/12 15:40:22 ID: 241, Data: 9C1A0D00D000EEFF, Celsius: 26, A: +0.13, rev/s: +0.578,  rev: -0.050
2024/04/12 15:40:23 ID: 241, Data: 9C1AFCFFC100FDFF, Celsius: 26, A: -0.04, rev/s: +0.536,  rev: -0.008
