2024/04/15 15:12:07 ID: 241, Data: 9C42120306003707, Celsius: 66, A: +7.86, rev/s: +0.017,  rev: +5.131
2024/04/15 15:12:07 ID: 241, Data: 9C421303FDFF3707, Celsius: 66, A: +7.87, rev/s: -0.008,  rev: +5.131
2024/04/15 15:12:07 ID: 241, Data: 9C421203F7FF3707, Celsius: 66, A: +7.86, rev/s: -0.025,  rev: +5.131
2024/04/15 15:12:07 ID: 241, Data: 9C421303FBFF3707, Celsius: 66, A: +7.87, rev/s: -0.014,  rev: +5.131
2024/04/15 15:12:07 ID: 241, Data: 9C43110320003707, Celsius: 67, A: +7.85, rev/s: +0.089,  rev: +5.131
2024/04/15 15:12:08 ID: 241, Data: 9C431103FBFF3707, Celsius: 67, A: +7.85, rev/s: -0.014,  rev: +5.131
2024/04/15 15:12:08 ID: 241, Data: 9C43100315003707, Celsius: 67, A: +7.84, rev/s: +0.058,  rev: +5.131
2024/04/15 15:12:08 ID: 241, Data: 9C431003EDFF3707, Celsius: 67, A: +7.84, rev/s: -0.053,  rev: +5.131
2024/04/15 15:12:08 ID: 241, Data: 9C430F0314003707, Celsius: 67, A: +7.83, rev/s: +0.056,  rev: +5.131
2024/04/15 15:12:08 ID: 241, Data: 9C440F03EEFF3707, Celsius: 68, A: +7.83, rev/s: -0.050,  rev: +5.131
2024/04/15 15:12:08 ID: 241, Data: 9C430F03E7FF3707, Celsius: 67, A: +7.83, rev/s: -0.069,  rev: +5.131
2024/04/15 15:12:08 ID: 241, Data: 9C441103E4FF3707, Celsius: 68, A: +7.85, rev/s: -0.078,  rev: +5.131
2024/04/15 15:12:08 ID: 241, Data: 9C440E0306003707, Celsius: 68, A: +7.82, rev/s: +0.017,  rev: +5.131
2024/04/15 15:12:08 ID: 241, Data: 9C440D03F3FF3707, Celsius: 68, A: +7.81, rev/s: -0.036,  rev: +5.131
2024/04/15 15:12:08 ID: 241, Data: 9C440D03FEFF3707, Celsius: 68, A: +7.81, rev/s: -0.006,  rev: +5.131
2024/04/15 15:12:09 ID: 241, Data: 9C440E03EDFF3707, Celsius: 68, A: +7.82, rev/s: -0.053,  rev: +5.131
2024/04/15 15:12:09 ID: 241, Data: 9C440C031B003707, Celsius: 68, A: +7.80, rev/s: +0.075,  rev: +5.131
2024/04/15 15:12:09 ID: 241, Data: 9C440D03FEFF3707, Celsius: 68, A: +7.81, rev/s: -0.006,  rev: +5.131
2024/04/15 15:12:09 ID: 241, Data: 9C450D03ECFF3707, Celsius: 69, A: +7.81, rev/s: -0.056,  rev: +5.131
2024/04/15 15:12:09 ID: 241, Data: 9C450B030E003707, Celsius: 69, A: +7.79, rev/s: +0.039,  rev: +5.131
2024/04/15 15:12:09 ID: 241, Data: 9C450B03FCFF3707, Celsius: 69, A: +7.79, rev/s: -0.011,  rev: +5.131
2024/04/15 15:12:09 ID: 241, Data: 9C450A03ECFF3707, Celsius: 69, A: +7.78, rev/s: -0.056,  rev: +5.131
2024/04/15 15:12:09 ID: 241, Data: 9C450A030D003707, Celsius: 69, A: +7.78, rev/s: +0.036,  rev: +5.131
2024/04/15 15:12:09 ID: 241, Data: 9C460A03EDFF3707, Celsius: 70, A: +7.78, rev/s: -0.053,  rev: +5.131
2024/04/15 15:12:10 ID: 241, Data: 9C4509031D003707, Celsius: 69, A: +7.77, rev/s: +0.081,  rev: +5.131
2024/04/15 15:12:10 ID: 241, Data: 9C450B03E8FF3707, Celsius: 69, A: +7.79, rev/s: -0.067,  rev: +5.131
2024/04/15 15:12:10 ID: 241, Data: 9C46090314003707, Celsius: 70, A: +7.77, rev/s: +0.056,  rev: +5.131
2024/04/15 15:12:10 ID: 241, Data: 9C450803F7FF3707, Celsius: 69, A: +7.76, rev/s: -0.025,  rev: +5.131
2024/04/15 15:12:10 ID: 241, Data: 9C460803F6FF3707, Celsius: 70, A: +7.76, rev/s: -0.028,  rev: +5.131
2024/04/15 15:12:10 ID: 241, Data: 9C460703F8FF3707, Celsius: 70, A: +7.75, rev/s: -0.022,  rev: +5.131
2024/04/15 15:12:10 ID: 241, Data: 9C46090300003707, Celsius: 70, A: +7.77, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:10 ID: 241, Data: 9C46060300003707, Celsius: 70, A: +7.74, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:10 ID: 241, Data: 9C47070302003707, Celsius: 71, A: +7.75, rev/s: +0.006,  rev: +5.131
2024/04/15 15:12:10 ID: 241, Data: 9C470803EDFF3707, Celsius: 71, A: +7.76, rev/s: -0.053,  rev: +5.131
2024/04/15 15:12:11 ID: 241, Data: 9C47070300003707, Celsius: 71, A: +7.75, rev/s: +0.000,  rev: +5.131
2024/04/15 15:12:11 ID: 241, Data: 9C470603EFFF3707, Celsius: 71, A: +7.74, rev/s: -0.047,  rev: +5.131
2024/04/15 15:12:11 ID: 241, Data: 9C47040302003707, Celsius: 71, A: +7.72, rev/s: +0.006,  rev: +5.131
2024/04/15 15:12:11 ID: 241, Data: 9C470703FDFF3707, Celsius: 71, A: +7.75, rev/s: -0.008,  rev: +5.131
2024/04/15 15:12:11 ID: 241, Data: 9C47040318003707, Celsius: 71, A: +7.72, rev/s: +0.067,  rev: +5.131
2024/04/15 15:12:11 ID: 241, Data: 9C48060308003707, Celsius: 72, A: +7.74, rev/s: +0.022,  rev: +5.131
2024/04/15 15:12:11 ID: 241, Data: 9C4803030C003707, Celsius: 72, A: +7.71, rev/s: +0.033,  rev: +5.131
2024/04/15 15:12:11 ID: 241, Data: 9C48040303003707, Celsius: 72, A: +7.72, rev/s: +0.008,  rev: +5.131
2024/04/15 15:12:11 ID: 241, Data: 9C4804030D003707, Celsius: 72, A: +7.72, rev/s: +0.036,  rev: +5.131
2024/04/15 15:12:11 ID: 241, Data: 9C480303F3FF3707, Celsius: 72, A: +7.71, rev/s: -0.036,  rev: +5.131
2024/04/15 15:12:12 ID: 241, Data: 9C48010312003707, Celsius: 72, A: +7.69, rev/s: +0.050,  rev: +5.131
2024/04/15 15:12:12 ID: 241, Data: 9C490203FBFF3707, Celsius: 73, A: +7.70, rev/s: -0.014,  rev: +5.131
2024/04/15 15:12:12 ID: 241, Data: 9C48020314003707, Celsius: 72, A: +7.70, rev/s: +0.056,  rev: +5.131
2024/04/15 15:12:12 ID: 241, Data: 9C49070337004407, Celsius: 73, A: +7.75, rev/s: +0.153,  rev: +5.167
2024/04/15 15:12:12 ID: 241, Data: 9C49D902E9005207, Celsius: 73, A: +7.29, rev/s: +0.647,  rev: +5.206
2024/04/15 15:12:12 ID: 241, Data: 9C49460202029E07, Celsius: 73, A: +5.82, rev/s: +1.428,  rev: +5.417
2024/04/15 15:12:12 ID: 241, Data: 9C490E030500B707, Celsius: 73, A: +7.82, rev/s: +0.014,  rev: +5.486
2024/04/15 15:12:12 ID: 241, Data: 9C490503F9FFB707, Celsius: 73, A: +7.73, rev/s: -0.019,  rev: +5.486
2024/04/15 15:12:12 ID: 241, Data: 9C4903030F00B707, Celsius: 73, A: +7.71, rev/s: +0.042,  rev: +5.486
2024/04/15 15:12:12 ID: 241, Data: 9C4903030000B707, Celsius: 73, A: +7.71, rev/s: +0.000,  rev: +5.486
2024/04/15 15:12:13 ID: 241, Data: 9C490303FFFFB707, Celsius: 73, A: +7.71, rev/s: -0.003,  rev: +5.486
2024/04/15 15:12:13 ID: 241, Data: 9C490403FDFFB707, Celsius: 73, A: +7.72, rev/s: -0.008,  rev: +5.486
2024/04/15 15:12:13 ID: 241, Data: 9C4A0303EFFFB707, Celsius: 74, A: +7.71, rev/s: -0.047,  rev: +5.486
2024/04/15 15:12:13 ID: 241, Data: 9C4A0103E9FFB707, Celsius: 74, A: +7.69, rev/s: -0.064,  rev: +5.486
2024/04/15 15:12:13 ID: 241, Data: 9C4902031000B707, Celsius: 73, A: +7.70, rev/s: +0.044,  rev: +5.486
2024/04/15 15:12:13 ID: 241, Data: 9C4A0203F4FFB707, Celsius: 74, A: +7.70, rev/s: -0.033,  rev: +5.486
2024/04/15 15:12:13 ID: 241, Data: 9C4A01030200B707, Celsius: 74, A: +7.69, rev/s: +0.006,  rev: +5.486
2024/04/15 15:12:13 ID: 241, Data: 9C4A02030400B707, Celsius: 74, A: +7.70, rev/s: +0.011,  rev: +5.486
2024/04/15 15:12:13 ID: 241, Data: 9C4A0203FCFFB707, Celsius: 74, A: +7.70, rev/s: -0.011,  rev: +5.486
2024/04/15 15:12:14 ID: 241, Data: 9C4B0F035F00B907, Celsius: 75, A: +7.83, rev/s: +0.264,  rev: +5.492
2024/04/15 15:12:14 ID: 241, Data: 9C4BC9026B01C807, Celsius: 75, A: +7.13, rev/s: +1.008,  rev: +5.533
2024/04/15 15:12:14 ID: 241, Data: 9C4BC1012E032308, Celsius: 75, A: +4.49, rev/s: +2.261,  rev: +5.786
