2024/04/17 13:17:28 ID: 241, Data: 9C3E870309006710, Celsius: 62, A: +9.03, rev/s: +0.025,  rev: +11.664
2024/04/17 13:17:28 ID: 241, Data: 9C3E860306006710, Celsius: 62, A: +9.02, rev/s: +0.017,  rev: +11.664
2024/04/17 13:17:28 ID: 241, Data: 9C3E8603F3FF6710, Celsius: 62, A: +9.02, rev/s: -0.036,  rev: +11.664
2024/04/17 13:17:28 ID: 241, Data: 9C3F8703F2FF6710, Celsius: 63, A: +9.03, rev/s: -0.039,  rev: +11.664
2024/04/17 13:17:28 ID: 241, Data: 9C3F82030E006710, Celsius: 63, A: +8.98, rev/s: +0.039,  rev: +11.664
2024/04/17 13:17:28 ID: 241, Data: 9C3F8103FAFF6710, Celsius: 63, A: +8.97, rev/s: -0.017,  rev: +11.664
2024/04/17 13:17:28 ID: 241, Data: 9C3F800314006710, Celsius: 63, A: +8.96, rev/s: +0.056,  rev: +11.664
2024/04/17 13:17:29 ID: 241, Data: 9C3F810303006710, Celsius: 63, A: +8.97, rev/s: +0.008,  rev: +11.664
2024/04/17 13:17:29 ID: 241, Data: 9C407E03F8FF6710, Celsius: 64, A: +8.94, rev/s: -0.022,  rev: +11.664
2024/04/17 13:17:29 ID: 241, Data: 9C407D030E006710, Celsius: 64, A: +8.93, rev/s: +0.039,  rev: +11.664
2024/04/17 13:17:29 ID: 241, Data: 9C407C03F5FF6710, Celsius: 64, A: +8.92, rev/s: -0.031,  rev: +11.664
2024/04/17 13:17:29 ID: 241, Data: 9C407A03FAFF6710, Celsius: 64, A: +8.90, rev/s: -0.017,  rev: +11.664
2024/04/17 13:17:29 ID: 241, Data: 9C417C03E8FF6710, Celsius: 65, A: +8.92, rev/s: -0.067,  rev: +11.664
2024/04/17 13:17:29 ID: 241, Data: 9C407A03F5FF6710, Celsius: 64, A: +8.90, rev/s: -0.031,  rev: +11.664
2024/04/17 13:17:29 ID: 241, Data: 9C417A0310006710, Celsius: 65, A: +8.90, rev/s: +0.044,  rev: +11.664
2024/04/17 13:17:29 ID: 241, Data: 9C417803EFFF6710, Celsius: 65, A: +8.88, rev/s: -0.047,  rev: +11.664
2024/04/17 13:17:29 ID: 241, Data: 9C41780309006710, Celsius: 65, A: +8.88, rev/s: +0.025,  rev: +11.664
2024/04/17 13:17:30 ID: 241, Data: 9C4276031B006710, Celsius: 66, A: +8.86, rev/s: +0.075,  rev: +11.664
2024/04/17 13:17:30 ID: 241, Data: 9C4274031A006710, Celsius: 66, A: +8.84, rev/s: +0.072,  rev: +11.664
2024/04/17 13:17:30 ID: 241, Data: 9C4276030A006710, Celsius: 66, A: +8.86, rev/s: +0.028,  rev: +11.664
2024/04/17 13:17:30 ID: 241, Data: 9C4274030E006710, Celsius: 66, A: +8.84, rev/s: +0.039,  rev: +11.664
2024/04/17 13:17:30 ID: 241, Data: 9C427503FDFF6710, Celsius: 66, A: +8.85, rev/s: -0.008,  rev: +11.664
2024/04/17 13:17:30 ID: 241, Data: 9C43730300006710, Celsius: 67, A: +8.83, rev/s: +0.000,  rev: +11.664
2024/04/17 13:17:30 ID: 241, Data: 9C437303FBFF6710, Celsius: 67, A: +8.83, rev/s: -0.014,  rev: +11.664
2024/04/17 13:17:30 ID: 241, Data: 9C43700320006710, Celsius: 67, A: +8.80, rev/s: +0.089,  rev: +11.664
2024/04/17 13:17:30 ID: 241, Data: 9C446E0318006710, Celsius: 68, A: +8.78, rev/s: +0.067,  rev: +11.664
2024/04/17 13:17:30 ID: 241, Data: 9C447303E8FF6710, Celsius: 68, A: +8.83, rev/s: -0.067,  rev: +11.664
2024/04/17 13:17:31 ID: 241, Data: 9C446F03E3FF6710, Celsius: 68, A: +8.79, rev/s: -0.081,  rev: +11.664
2024/04/17 13:17:31 ID: 241, Data: 9C446D0313006710, Celsius: 68, A: +8.77, rev/s: +0.053,  rev: +11.664
2024/04/17 13:17:31 ID: 241, Data: 9C456D03EFFF6710, Celsius: 69, A: +8.77, rev/s: -0.047,  rev: +11.664
2024/04/17 13:17:31 ID: 241, Data: 9C456E03DEFF6710, Celsius: 69, A: +8.78, rev/s: -0.094,  rev: +11.664
2024/04/17 13:17:31 ID: 241, Data: 9C456D03EAFF6710, Celsius: 69, A: +8.77, rev/s: -0.061,  rev: +11.664
2024/04/17 13:17:31 ID: 241, Data: 9C456B0303006710, Celsius: 69, A: +8.75, rev/s: +0.008,  rev: +11.664
2024/04/17 13:17:31 ID: 241, Data: 9C456A03E8FF6710, Celsius: 69, A: +8.74, rev/s: -0.067,  rev: +11.664
2024/04/17 13:17:31 ID: 241, Data: 9C466A03F3FF6710, Celsius: 70, A: +8.74, rev/s: -0.036,  rev: +11.664
2024/04/17 13:17:31 ID: 241, Data: 9C466A03EAFF6710, Celsius: 70, A: +8.74, rev/s: -0.061,  rev: +11.664
2024/04/17 13:17:31 ID: 241, Data: 9C46860360006D10, Celsius: 70, A: +9.02, rev/s: +0.267,  rev: +11.681
2024/04/17 13:17:32 ID: 241, Data: 9C464B0315007410, Celsius: 70, A: +8.43, rev/s: +0.058,  rev: +11.700
2024/04/17 13:17:32 ID: 241, Data: 9C4728034E007D10, Celsius: 71, A: +8.08, rev/s: +0.217,  rev: +11.725
2024/04/17 13:17:32 ID: 241, Data: 9C47DC0221029210, Celsius: 71, A: +7.32, rev/s: +1.514,  rev: +11.783
