2024/04/15 13:31:02 ID: 241, Data: 9C245A008DFF7CF9, Celsius: 36, A: +0.90, rev/s: -0.319,  rev: -4.633
2024/04/15 13:31:02 ID: 241, Data: 9C242700AFFF73F9, Celsius: 36, A: +0.39, rev/s: -0.225,  rev: -4.658
2024/04/15 13:31:02 ID: 241, Data: 9C241E008BFF67F9, Celsius: 36, A: +0.30, rev/s: -0.325,  rev: -4.692
2024/04/15 13:31:02 ID: 241, Data: 9C244D006DFF5AF9, Celsius: 36, A: +0.77, rev/s: -0.408,  rev: -4.728
2024/04/15 13:31:02 ID: 241, Data: 9C24460094FF50F9, Celsius: 36, A: +0.70, rev/s: -0.300,  rev: -4.756
2024/04/15 13:31:02 ID: 241, Data: 9C2446007EFF45F9, Celsius: 36, A: +0.70, rev/s: -0.361,  rev: -4.786
2024/04/15 13:31:02 ID: 241, Data: 9C243B0073FF3AF9, Celsius: 36, A: +0.59, rev/s: -0.392,  rev: -4.817
2024/04/15 13:31:03 ID: 241, Data: 9C249C0078FF2CF9, Celsius: 36, A: +1.56, rev/s: -0.378,  rev: -4.856
2024/04/15 13:31:03 ID: 241, Data: 9C248B00E9FF24F9, Celsius: 36, A: +1.39, rev/s: -0.064,  rev: -4.878
2024/04/15 13:31:03 ID: 241, Data: 9C24300050FF1BF9, Celsius: 36, A: +0.48, rev/s: -0.489,  rev: -4.903
2024/04/15 13:31:03 ID: 241, Data: 9C247E0063FF0BF9, Celsius: 36, A: +1.26, rev/s: -0.436,  rev: -4.947
2024/04/15 13:31:03 ID: 241, Data: 9C245500BDFF03F9, Celsius: 36, A: +0.85, rev/s: -0.186,  rev: -4.969
2024/04/15 13:31:03 ID: 241, Data: 9C24500085FFF8F8, Celsius: 36, A: +0.80, rev/s: -0.342,  rev: -5.000
2024/04/15 13:31:03 ID: 241, Data: 9C24570098FFECF8, Celsius: 36, A: +0.87, rev/s: -0.289,  rev: -5.033
2024/04/15 13:31:03 ID: 241, Data: 9C244700ACFFE1F8, Celsius: 36, A: +0.71, rev/s: -0.233,  rev: -5.064
2024/04/15 13:31:03 ID: 241, Data: 9C2458007CFFD5F8, Celsius: 36, A: +0.88, rev/s: -0.367,  rev: -5.097
2024/04/15 13:31:03 ID: 241, Data: 9C247A00E4FFC9F8, Celsius: 36, A: +1.22, rev/s: -0.078,  rev: -5.131
2024/04/15 13:31:04 ID: 241, Data: 9C246400B1FFC0F8, Celsius: 36, A: +1.00, rev/s: -0.219,  rev: -5.156
2024/04/15 13:31:04 ID: 241, Data: 9C24790091FFB4F8, Celsius: 36, A: +1.21, rev/s: -0.308,  rev: -5.189
2024/04/15 13:31:04 ID: 241, Data: 9C24CA00ACFFA7F8, Celsius: 36, A: +2.02, rev/s: -0.233,  rev: -5.225
2024/04/15 13:31:04 ID: 241, Data: 9C247600ACFFA0F8, Celsius: 36, A: +1.18, rev/s: -0.233,  rev: -5.244
2024/04/15 13:31:04 ID: 241, Data: 9C24370094FF95F8, Celsius: 36, A: +0.55, rev/s: -0.300,  rev: -5.275
2024/04/15 13:31:04 ID: 241, Data: 9C2416007FFF89F8, Celsius: 36, A: +0.22, rev/s: -0.358,  rev: -5.308
2024/04/15 13:31:04 ID: 241, Data: 9C24240090FF7CF8, Celsius: 36, A: +0.36, rev/s: -0.311,  rev: -5.344
2024/04/15 13:31:04 ID: 241, Data: 9C2413008DFF72F8, Celsius: 36, A: +0.19, rev/s: -0.319,  rev: -5.372
2024/04/15 13:31:04 ID: 241, Data: 9C2422006CFF66F8, Celsius: 36, A: +0.34, rev/s: -0.411,  rev: -5.406
2024/04/15 13:31:04 ID: 241, Data: 9C241C00A9FF5BF8, Celsius: 36, A: +0.28, rev/s: -0.242,  rev: -5.436
2024/04/15 13:31:05 ID: 241, Data: 9C2412009EFF50F8, Celsius: 36, A: +0.18, rev/s: -0.272,  rev: -5.467
2024/04/15 13:31:05 ID: 241, Data: 9C243900A4FF44F8, Celsius: 36, A: +0.57, rev/s: -0.256,  rev: -5.500
2024/04/15 13:31:05 ID: 241, Data: 9C24DE005CFF36F8, Celsius: 36, A: +2.22, rev/s: -0.456,  rev: -5.539
2024/04/15 13:31:05 ID: 241, Data: 9C24C000FDFF2FF8, Celsius: 36, A: +1.92, rev/s: -0.008,  rev: -5.558
2024/04/15 13:31:05 ID: 241, Data: 9C2436005FFF29F8, Celsius: 36, A: +0.54, rev/s: -0.447,  rev: -5.575
2024/04/15 13:31:05 ID: 241, Data: 9C24A5006DFF16F8, Celsius: 36, A: +1.65, rev/s: -0.408,  rev: -5.628
2024/04/15 13:31:05 ID: 241, Data: 9C242900C9FF11F8, Celsius: 36, A: +0.41, rev/s: -0.153,  rev: -5.642
2024/04/15 13:31:05 ID: 241, Data: 9C240B00A1FF03F8, Celsius: 36, A: +0.11, rev/s: -0.264,  rev: -5.681
2024/04/15 13:31:05 ID: 241, Data: 9C241D00ACFFF7F7, Celsius: 36, A: +0.29, rev/s: -0.233,  rev: -5.714
2024/04/15 13:31:06 ID: 241, Data: 9C244C0052FFEBF7, Celsius: 36, A: +0.76, rev/s: -0.483,  rev: -5.747
2024/04/15 13:31:06 ID: 241, Data: 9C242800E2FFE2F7, Celsius: 36, A: +0.40, rev/s: -0.083,  rev: -5.772
2024/04/15 13:31:06 ID: 241, Data: 9C24ECFF88FFD8F7, Celsius: 36, A: -0.20, rev/s: -0.333,  rev: -5.800
2024/04/15 13:31:06 ID: 241, Data: 9C24FFFF18FFCBF7, Celsius: 36, A: -0.01, rev/s: -0.644,  rev: -5.836
2024/04/15 13:31:06 ID: 241, Data: 9C241F0063FFBFF7, Celsius: 36, A: +0.31, rev/s: -0.436,  rev: -5.869
2024/04/15 13:31:06 ID: 241, Data: 9C247900CFFFB2F7, Celsius: 36, A: +1.21, rev/s: -0.136,  rev: -5.906
2024/04/15 13:31:06 ID: 241, Data: 9C248B00C6FFAAF7, Celsius: 36, A: +1.39, rev/s: -0.161,  rev: -5.928
2024/04/15 13:31:06 ID: 241, Data: 9C245C0099FFA1F7, Celsius: 36, A: +0.92, rev/s: -0.286,  rev: -5.953
2024/04/15 13:31:06 ID: 241, Data: 9C243B0090FF95F7, Celsius: 36, A: +0.59, rev/s: -0.311,  rev: -5.986
2024/04/15 13:31:06 ID: 241, Data: 9C240E008DFF8AF7, Celsius: 36, A: +0.14, rev/s: -0.319,  rev: -6.017
2024/04/15 13:31:07 ID: 241, Data: 9C243E0054FF7CF7, Celsius: 36, A: +0.62, rev/s: -0.478,  rev: -6.056
