2024/04/15 14:25:10 ID: 241, Data: 9C3CD5020B0025EF, Celsius: 60, A: +7.25, rev/s: +0.031,  rev: -11.986
2024/04/15 14:25:10 ID: 241, Data: 9C3CD502F8FF25EF, Celsius: 60, A: +7.25, rev/s: -0.022,  rev: -11.986
2024/04/15 14:25:10 ID: 241, Data: 9C3CD402050025EF, Celsius: 60, A: +7.24, rev/s: +0.014,  rev: -11.986
2024/04/15 14:25:11 ID: 241, Data: 9C3DD402F0FF25EF, Celsius: 61, A: +7.24, rev/s: -0.044,  rev: -11.986
2024/04/15 14:25:11 ID: 241, Data: 9C3DD202F7FF25EF, Celsius: 61, A: +7.22, rev/s: -0.025,  rev: -11.986
2024/04/15 14:25:11 ID: 241, Data: 9C3DD202FEFF25EF, Celsius: 61, A: +7.22, rev/s: -0.006,  rev: -11.986
2024/04/15 14:25:11 ID: 241, Data: 9C3DD102080025EF, Celsius: 61, A: +7.21, rev/s: +0.022,  rev: -11.986
2024/04/15 14:25:11 ID: 241, Data: 9C3DD202F8FF25EF, Celsius: 61, A: +7.22, rev/s: -0.022,  rev: -11.986
2024/04/15 14:25:11 ID: 241, Data: 9C3ED402030025EF, Celsius: 62, A: +7.24, rev/s: +0.008,  rev: -11.986
2024/04/15 14:25:11 ID: 241, Data: 9C3ED302080025EF, Celsius: 62, A: +7.23, rev/s: +0.022,  rev: -11.986
2024/04/15 14:25:11 ID: 241, Data: 9C3ED2020D0025EF, Celsius: 62, A: +7.22, rev/s: +0.036,  rev: -11.986
2024/04/15 14:25:11 ID: 241, Data: 9C3ED302F4FF25EF, Celsius: 62, A: +7.23, rev/s: -0.033,  rev: -11.986
2024/04/15 14:25:11 ID: 241, Data: 9C3ED102050025EF, Celsius: 62, A: +7.21, rev/s: +0.014,  rev: -11.986
2024/04/15 14:25:12 ID: 241, Data: 9C3FD202080025EF, Celsius: 63, A: +7.22, rev/s: +0.022,  rev: -11.986
2024/04/15 14:25:12 ID: 241, Data: 9C3FD202050025EF, Celsius: 63, A: +7.22, rev/s: +0.014,  rev: -11.986
2024/04/15 14:25:12 ID: 241, Data: 9C3FD102F7FF25EF, Celsius: 63, A: +7.21, rev/s: -0.025,  rev: -11.986
2024/04/15 14:25:12 ID: 241, Data: 9C3FD102EFFF25EF, Celsius: 63, A: +7.21, rev/s: -0.047,  rev: -11.986
2024/04/15 14:25:12 ID: 241, Data: 9C40D202F6FF25EF, Celsius: 64, A: +7.22, rev/s: -0.028,  rev: -11.986
2024/04/15 14:25:12 ID: 241, Data: 9C3FD102FDFF25EF, Celsius: 63, A: +7.21, rev/s: -0.008,  rev: -11.986
2024/04/15 14:25:12 ID: 241, Data: 9C40D002FDFF25EF, Celsius: 64, A: +7.20, rev/s: -0.008,  rev: -11.986
2024/04/15 14:25:12 ID: 241, Data: 9C40D0020A0025EF, Celsius: 64, A: +7.20, rev/s: +0.028,  rev: -11.986
2024/04/15 14:25:12 ID: 241, Data: 9C40D102EFFF25EF, Celsius: 64, A: +7.21, rev/s: -0.047,  rev: -11.986
2024/04/15 14:25:12 ID: 241, Data: 9C40D002010025EF, Celsius: 64, A: +7.20, rev/s: +0.003,  rev: -11.986
2024/04/15 14:25:13 ID: 241, Data: 9C41D002F4FF25EF, Celsius: 65, A: +7.20, rev/s: -0.033,  rev: -11.986
