2024/04/15 14:00:03 ID: 241, Data: 9C2FE3020E008F02, Celsius: 47, A: +7.39, rev/s: +0.039,  rev: +1.819
2024/04/15 14:00:03 ID: 241, Data: 9C2FE40217008F02, Celsius: 47, A: +7.40, rev/s: +0.064,  rev: +1.819
2024/04/15 14:00:03 ID: 241, Data: 9C2FE40213008F02, Celsius: 47, A: +7.40, rev/s: +0.053,  rev: +1.819
2024/04/15 14:00:03 ID: 241, Data: 9C2FE402FFFF8F02, Celsius: 47, A: +7.40, rev/s: -0.003,  rev: +1.819
2024/04/15 14:00:03 ID: 241, Data: 9C2FE602DDFF8F02, Celsius: 47, A: +7.42, rev/s: -0.097,  rev: +1.819
2024/04/15 14:00:03 ID: 241, Data: 9C2FE2020D008F02, Celsius: 47, A: +7.38, rev/s: +0.036,  rev: +1.819
2024/04/15 14:00:03 ID: 241, Data: 9C2FE10217008F02, Celsius: 47, A: +7.37, rev/s: +0.064,  rev: +1.819
2024/04/15 14:00:04 ID: 241, Data: 9C2FE202F2FF8F02, Celsius: 47, A: +7.38, rev/s: -0.039,  rev: +1.819
2024/04/15 14:00:04 ID: 241, Data: 9C2FE20201008F02, Celsius: 47, A: +7.38, rev/s: +0.003,  rev: +1.819
2024/04/15 14:00:04 ID: 241, Data: 9C2FE102E5FF8F02, Celsius: 47, A: +7.37, rev/s: -0.075,  rev: +1.819
2024/04/15 14:00:04 ID: 241, Data: 9C2FE10206008F02, Celsius: 47, A: +7.37, rev/s: +0.017,  rev: +1.819
2024/04/15 14:00:04 ID: 241, Data: 9C2FE20224008F02, Celsius: 47, A: +7.38, rev/s: +0.100,  rev: +1.819
2024/04/15 14:00:04 ID: 241, Data: 9C2FE302DDFF8F02, Celsius: 47, A: +7.39, rev/s: -0.097,  rev: +1.819
2024/04/15 14:00:04 ID: 241, Data: 9C2FE1020C008F02, Celsius: 47, A: +7.37, rev/s: +0.033,  rev: +1.819
2024/04/15 14:00:04 ID: 241, Data: 9C2FE202F4FF8F02, Celsius: 47, A: +7.38, rev/s: -0.033,  rev: +1.819
2024/04/15 14:00:04 ID: 241, Data: 9C2FDF0204008F02, Celsius: 47, A: +7.35, rev/s: +0.011,  rev: +1.819
2024/04/15 14:00:04 ID: 241, Data: 9C2FE102F5FF8F02, Celsius: 47, A: +7.37, rev/s: -0.031,  rev: +1.819
2024/04/15 14:00:05 ID: 241, Data: 9C2FE00202008F02, Celsius: 47, A: +7.36, rev/s: +0.006,  rev: +1.819
2024/04/15 14:00:05 ID: 241, Data: 9C2FE202FFFF8F02, Celsius: 47, A: +7.38, rev/s: -0.003,  rev: +1.819
2024/04/15 14:00:05 ID: 241, Data: 9C2FE002FAFF8F02, Celsius: 47, A: +7.36, rev/s: -0.017,  rev: +1.819
2024/04/15 14:00:05 ID: 241, Data: 9C2FDF020E008F02, Celsius: 47, A: +7.35, rev/s: +0.039,  rev: +1.819
2024/04/15 14:00:05 ID: 241, Data: 9C2FE10213008F02, Celsius: 47, A: +7.37, rev/s: +0.053,  rev: +1.819
2024/04/15 14:00:05 ID: 241, Data: 9C2FDF02DBFF8F02, Celsius: 47, A: +7.35, rev/s: -0.103,  rev: +1.819
2024/04/15 14:00:05 ID: 241, Data: 9C2FDD02E8FF8F02, Celsius: 47, A: +7.33, rev/s: -0.067,  rev: +1.819
2024/04/15 14:00:05 ID: 241, Data: 9C2FE002EEFF8F02, Celsius: 47, A: +7.36, rev/s: -0.050,  rev: +1.819
2024/04/15 14:00:05 ID: 241, Data: 9C2FDE02E7FF8F02, Celsius: 47, A: +7.34, rev/s: -0.069,  rev: +1.819
2024/04/15 14:00:05 ID: 241, Data: 9C2FDF02E5FF8F02, Celsius: 47, A: +7.35, rev/s: -0.075,  rev: +1.819
2024/04/15 14:00:06 ID: 241, Data: 9C2FDF02FAFF8F02, Celsius: 47, A: +7.35, rev/s: -0.017,  rev: +1.819
2024/04/15 14:00:06 ID: 241, Data: 9C2FDE02F1FF8F02, Celsius: 47, A: +7.34, rev/s: -0.042,  rev: +1.819
2024/04/15 14:00:06 ID: 241, Data: 9C2FDC0220008F02, Celsius: 47, A: +7.32, rev/s: +0.089,  rev: +1.819
2024/04/15 14:00:06 ID: 241, Data: 9C2FDD0205008F02, Celsius: 47, A: +7.33, rev/s: +0.014,  rev: +1.819
2024/04/15 14:00:06 ID: 241, Data: 9C2FDD02F8FF8F02, Celsius: 47, A: +7.33, rev/s: -0.022,  rev: +1.819
