2024/04/15 13:49:02 ID: 241, Data: 9C2EC5FD66FF380E, Celsius: 46, A: -5.71, rev/s: -0.428,  rev: +10.111
2024/04/15 13:49:02 ID: 241, Data: 9C2F30FE52FF280E, Celsius: 47, A: -4.64, rev/s: -0.483,  rev: +10.067
2024/04/15 13:49:02 ID: 241, Data: 9C2F5BFFCDFF1A0E, Celsius: 47, A: -1.65, rev/s: -0.142,  rev: +10.028
2024/04/15 13:49:02 ID: 241, Data: 9C2F26FFA3FF180E, Celsius: 47, A: -2.18, rev/s: -0.258,  rev: +10.022
2024/04/15 13:49:02 ID: 241, Data: 9C2E70FF76FF0C0E, Celsius: 46, A: -1.44, rev/s: -0.383,  rev: +9.989
2024/04/15 13:49:02 ID: 241, Data: 9C2F77FFB4FF000E, Celsius: 47, A: -1.37, rev/s: -0.211,  rev: +9.956
2024/04/15 13:49:02 ID: 241, Data: 9C2E60FFD3FFF70D, Celsius: 46, A: -1.60, rev/s: -0.125,  rev: +9.931
2024/04/15 13:49:03 ID: 241, Data: 9C2F1BFFA9FFEF0D, Celsius: 47, A: -2.29, rev/s: -0.242,  rev: +9.908
2024/04/15 13:49:03 ID: 241, Data: 9C2FFDFE63FFE20D, Celsius: 47, A: -2.59, rev/s: -0.436,  rev: +9.872
2024/04/15 13:49:03 ID: 241, Data: 9C2FC4FE8FFFD70D, Celsius: 47, A: -3.16, rev/s: -0.314,  rev: +9.842
2024/04/15 13:49:03 ID: 241, Data: 9C2FEBFE9FFFC90D, Celsius: 47, A: -2.77, rev/s: -0.269,  rev: +9.803
2024/04/15 13:49:03 ID: 241, Data: 9C2FC8FEC7FFC00D, Celsius: 47, A: -3.12, rev/s: -0.158,  rev: +9.778
2024/04/15 13:49:03 ID: 241, Data: 9C2F41FEC3FFB70D, Celsius: 47, A: -4.47, rev/s: -0.169,  rev: +9.753
2024/04/15 13:49:03 ID: 241, Data: 9C2FE3FE49FFA40D, Celsius: 47, A: -2.85, rev/s: -0.508,  rev: +9.700
2024/04/15 13:49:03 ID: 241, Data: 9C2FAEFF3600980D, Celsius: 47, A: -0.82, rev/s: +0.150,  rev: +9.667
2024/04/15 13:49:03 ID: 241, Data: 9C2FB3FF9CFF910D, Celsius: 47, A: -0.77, rev/s: -0.278,  rev: +9.647
2024/04/15 13:49:03 ID: 241, Data: 9C2F8FFFBCFF870D, Celsius: 47, A: -1.13, rev/s: -0.189,  rev: +9.619
2024/04/15 13:49:04 ID: 241, Data: 9C2F4DFFE1FF7F0D, Celsius: 47, A: -1.79, rev/s: -0.086,  rev: +9.597
2024/04/15 13:49:04 ID: 241, Data: 9C2F2AFF79FF740D, Celsius: 47, A: -2.14, rev/s: -0.375,  rev: +9.567
2024/04/15 13:49:04 ID: 241, Data: 9C2FA3FED9FF690D, Celsius: 47, A: -3.49, rev/s: -0.108,  rev: +9.536
2024/04/15 13:49:04 ID: 241, Data: 9C2F18FEA9FF600D, Celsius: 47, A: -4.88, rev/s: -0.242,  rev: +9.511
2024/04/15 13:49:04 ID: 241, Data: 9C2FFDFD22FF510D, Celsius: 47, A: -5.15, rev/s: -0.617,  rev: +9.469
2024/04/15 13:49:04 ID: 241, Data: 9C2F57FEA8FF400D, Celsius: 47, A: -4.25, rev/s: -0.244,  rev: +9.422
2024/04/15 13:49:04 ID: 241, Data: 9C2F60FF96FF320D, Celsius: 47, A: -1.60, rev/s: -0.294,  rev: +9.383
2024/04/15 13:49:04 ID: 241, Data: 9C2F45FFB7FF2F0D, Celsius: 47, A: -1.87, rev/s: -0.203,  rev: +9.375
2024/04/15 13:49:04 ID: 241, Data: 9C2F37FF66FF260D, Celsius: 47, A: -2.01, rev/s: -0.428,  rev: +9.350
2024/04/15 13:49:04 ID: 241, Data: 9C2F6BFFF6FF190D, Celsius: 47, A: -1.49, rev/s: -0.028,  rev: +9.314
2024/04/15 13:49:05 ID: 241, Data: 9C2F7CFFC4FF0F0D, Celsius: 47, A: -1.32, rev/s: -0.167,  rev: +9.286
2024/04/15 13:49:05 ID: 241, Data: 9C2F7FFF38FF040D, Celsius: 47, A: -1.29, rev/s: -0.556,  rev: +9.256
2024/04/15 13:49:05 ID: 241, Data: 9C2F1FFF25FFFB0C, Celsius: 47, A: -2.25, rev/s: -0.608,  rev: +9.231
2024/04/15 13:49:05 ID: 241, Data: 9C2F9BFE96FFF00C, Celsius: 47, A: -3.57, rev/s: -0.294,  rev: +9.200
2024/04/15 13:49:05 ID: 241, Data: 9C2F73FE27FFE40C, Celsius: 47, A: -3.97, rev/s: -0.603,  rev: +9.167
2024/04/15 13:49:05 ID: 241, Data: 9C2FFFFDD9FFD90C, Celsius: 47, A: -5.13, rev/s: -0.108,  rev: +9.136
2024/04/15 13:49:05 ID: 241, Data: 9C2F27FE26FFCB0C, Celsius: 47, A: -4.73, rev/s: -0.606,  rev: +9.097
2024/04/15 13:49:05 ID: 241, Data: 9C2F2BFE80FFBF0C, Celsius: 47, A: -4.69, rev/s: -0.356,  rev: +9.064
2024/04/15 13:49:05 ID: 241, Data: 9C2FD0FEA2FFB00C, Celsius: 47, A: -3.04, rev/s: -0.261,  rev: +9.022
2024/04/15 13:49:05 ID: 241, Data: 9C2F5CFFC7FFA60C, Celsius: 47, A: -1.64, rev/s: -0.158,  rev: +8.994
2024/04/15 13:49:06 ID: 241, Data: 9C2F5CFFE1FFA00C, Celsius: 47, A: -1.64, rev/s: -0.086,  rev: +8.978
2024/04/15 13:49:06 ID: 241, Data: 9C2F4FFF96FF960C, Celsius: 47, A: -1.77, rev/s: -0.294,  rev: +8.950
2024/04/15 13:49:06 ID: 241, Data: 9C2F49FF76FF8A0C, Celsius: 47, A: -1.83, rev/s: -0.383,  rev: +8.917
2024/04/15 13:49:06 ID: 241, Data: 9C2FEDFECCFF800C, Celsius: 47, A: -2.75, rev/s: -0.144,  rev: +8.889
2024/04/15 13:49:06 ID: 241, Data: 9C2F81FE9EFF770C, Celsius: 47, A: -3.83, rev/s: -0.272,  rev: +8.864
2024/04/15 13:49:06 ID: 241, Data: 9C2F46FE7FFF690C, Celsius: 47, A: -4.42, rev/s: -0.358,  rev: +8.825
2024/04/15 13:49:06 ID: 241, Data: 9C2F49FE7FFF5D0C, Celsius: 47, A: -4.39, rev/s: -0.358,  rev: +8.792
2024/04/15 13:49:06 ID: 241, Data: 9C2F34FE63FF510C, Celsius: 47, A: -4.60, rev/s: -0.436,  rev: +8.758
2024/04/15 13:49:06 ID: 241, Data: 9C2FE2FE71FF400C, Celsius: 47, A: -2.86, rev/s: -0.397,  rev: +8.711
2024/04/15 13:49:07 ID: 241, Data: 9C2F42FF0500380C, Celsius: 47, A: -1.90, rev/s: +0.014,  rev: +8.689
2024/04/15 13:49:07 ID: 241, Data: 9C2F2BFFC5FF300C, Celsius: 47, A: -2.13, rev/s: -0.164,  rev: +8.667
2024/04/15 13:49:07 ID: 241, Data: 9C2F5FFF8AFF250C, Celsius: 47, A: -1.61, rev/s: -0.328,  rev: +8.636
2024/04/15 13:49:07 ID: 241, Data: 9C2F7BFFF6FF190C, Celsius: 47, A: -1.33, rev/s: -0.028,  rev: +8.603
2024/04/15 13:49:07 ID: 241, Data: 9C303DFFA2FF100C, Celsius: 48, A: -1.95, rev/s: -0.261,  rev: +8.578
2024/04/15 13:49:07 ID: 241, Data: 9C2FEAFEA5FF070C, Celsius: 47, A: -2.78, rev/s: -0.253,  rev: +8.553
2024/04/15 13:49:07 ID: 241, Data: 9C30A1FE63FFFD0B, Celsius: 48, A: -3.51, rev/s: -0.436,  rev: +8.525
2024/04/15 13:49:07 ID: 241, Data: 9C3008FEB9FFF20B, Celsius: 48, A: -5.04, rev/s: -0.197,  rev: +8.494
2024/04/15 13:49:07 ID: 241, Data: 9C30ABFD7EFFE70B, Celsius: 48, A: -5.97, rev/s: -0.361,  rev: +8.464
2024/04/15 13:49:07 ID: 241, Data: 9C30FBFD5AFFD70B, Celsius: 48, A: -5.17, rev/s: -0.461,  rev: +8.419
