2024/04/15 14:49:31 ID: 241, Data: 9C39C3FCE4FF3A08, Celsius: 57, A: -8.29, rev/s: -0.078,  rev: +5.850
2024/04/15 14:49:31 ID: 241, Data: 9C39C2FCFFFF3A08, Celsius: 57, A: -8.30, rev/s: -0.003,  rev: +5.850
2024/04/15 14:49:31 ID: 241, Data: 9C39C0FCFCFF3A08, Celsius: 57, A: -8.32, rev/s: -0.011,  rev: +5.850
2024/04/15 14:49:32 ID: 241, Data: 9C39C1FCF6FF3A08, Celsius: 57, A: -8.31, rev/s: -0.028,  rev: +5.850
2024/04/15 14:49:32 ID: 241, Data: 9C39C3FC16003A08, Celsius: 57, A: -8.29, rev/s: +0.061,  rev: +5.850
2024/04/15 14:49:32 ID: 241, Data: 9C39C1FCEDFF3A08, Celsius: 57, A: -8.31, rev/s: -0.053,  rev: +5.850
2024/04/15 14:49:32 ID: 241, Data: 9C39C3FC14003A08, Celsius: 57, A: -8.29, rev/s: +0.056,  rev: +5.850
2024/04/15 14:49:32 ID: 241, Data: 9C3AC1FCFDFF3A08, Celsius: 58, A: -8.31, rev/s: -0.008,  rev: +5.850
2024/04/15 14:49:32 ID: 241, Data: 9C3AC2FC13003A08, Celsius: 58, A: -8.30, rev/s: +0.053,  rev: +5.850
2024/04/15 14:49:32 ID: 241, Data: 9C3AC1FC07003A08, Celsius: 58, A: -8.31, rev/s: +0.019,  rev: +5.850
2024/04/15 14:49:32 ID: 241, Data: 9C3AC1FCF4FF3A08, Celsius: 58, A: -8.31, rev/s: -0.033,  rev: +5.850
2024/04/15 14:49:32 ID: 241, Data: 9C3AC2FC09003A08, Celsius: 58, A: -8.30, rev/s: +0.025,  rev: +5.850
2024/04/15 14:49:32 ID: 241, Data: 9C3AC3FC03003A08, Celsius: 58, A: -8.29, rev/s: +0.008,  rev: +5.850
2024/04/15 14:49:33 ID: 241, Data: 9C3AC4FC00003A08, Celsius: 58, A: -8.28, rev/s: +0.000,  rev: +5.850
2024/04/15 14:49:33 ID: 241, Data: 9C3AC3FC0B003A08, Celsius: 58, A: -8.29, rev/s: +0.031,  rev: +5.850
2024/04/15 14:49:33 ID: 241, Data: 9C3AC5FCFFFF3A08, Celsius: 58, A: -8.27, rev/s: -0.003,  rev: +5.850
2024/04/15 14:49:33 ID: 241, Data: 9C3AC4FC0F003A08, Celsius: 58, A: -8.28, rev/s: +0.042,  rev: +5.850
2024/04/15 14:49:33 ID: 241, Data: 9C3AC4FC05003A08, Celsius: 58, A: -8.28, rev/s: +0.014,  rev: +5.850
2024/04/15 14:49:33 ID: 241, Data: 9C3BC4FCFAFF3A08, Celsius: 59, A: -8.28, rev/s: -0.017,  rev: +5.850
2024/04/15 14:49:33 ID: 241, Data: 9C3BCAFCF2FF3A08, Celsius: 59, A: -8.22, rev/s: -0.039,  rev: +5.850
2024/04/15 14:49:33 ID: 241, Data: 9C3BCCFCFEFF3A08, Celsius: 59, A: -8.20, rev/s: -0.006,  rev: +5.850
2024/04/15 14:49:33 ID: 241, Data: 9C3BC8FCF7FF3A08, Celsius: 59, A: -8.24, rev/s: -0.025,  rev: +5.850
2024/04/15 14:49:33 ID: 241, Data: 9C3BCCFC0C003A08, Celsius: 59, A: -8.20, rev/s: +0.033,  rev: +5.850
2024/04/15 14:49:34 ID: 241, Data: 9C3BCBFCFEFF3A08, Celsius: 59, A: -8.21, rev/s: -0.006,  rev: +5.850
2024/04/15 14:49:34 ID: 241, Data: 9C3BCEFC02003A08, Celsius: 59, A: -8.18, rev/s: +0.006,  rev: +5.850
2024/04/15 14:49:34 ID: 241, Data: 9C3BCFFCFDFF3A08, Celsius: 59, A: -8.17, rev/s: -0.008,  rev: +5.850
2024/04/15 14:49:34 ID: 241, Data: 9C3BCCFC01003A08, Celsius: 59, A: -8.20, rev/s: +0.003,  rev: +5.850
2024/04/15 14:49:34 ID: 241, Data: 9C3BD1FC01003A08, Celsius: 59, A: -8.15, rev/s: +0.003,  rev: +5.850
2024/04/15 14:49:34 ID: 241, Data: 9C3CD4FCF2FF3A08, Celsius: 60, A: -8.12, rev/s: -0.039,  rev: +5.850
2024/04/15 14:49:34 ID: 241, Data: 9C3CD0FCE6FF3A08, Celsius: 60, A: -8.16, rev/s: -0.072,  rev: +5.850
2024/04/15 14:49:34 ID: 241, Data: 9C3CD0FC0C003A08, Celsius: 60, A: -8.16, rev/s: +0.033,  rev: +5.850
2024/04/15 14:49:34 ID: 241, Data: 9C3CCEFCFEFF3A08, Celsius: 60, A: -8.18, rev/s: -0.006,  rev: +5.850
2024/04/15 14:49:35 ID: 241, Data: 9C3CD1FC0E003A08, Celsius: 60, A: -8.15, rev/s: +0.039,  rev: +5.850
2024/04/15 14:49:35 ID: 241, Data: 9C3CCEFC08003A08, Celsius: 60, A: -8.18, rev/s: +0.022,  rev: +5.850
2024/04/15 14:49:35 ID: 241, Data: 9C3CD1FCF6FF3A08, Celsius: 60, A: -8.15, rev/s: -0.028,  rev: +5.850
2024/04/15 14:49:35 ID: 241, Data: 9C3CD4FCF9FF3A08, Celsius: 60, A: -8.12, rev/s: -0.019,  rev: +5.850
2024/04/15 14:49:35 ID: 241, Data: 9C3CD0FCF4FF3A08, Celsius: 60, A: -8.16, rev/s: -0.033,  rev: +5.850
2024/04/15 14:49:35 ID: 241, Data: 9C3DD3FC02003A08, Celsius: 61, A: -8.13, rev/s: +0.006,  rev: +5.850
2024/04/15 14:49:35 ID: 241, Data: 9C3DD5FC18003A08, Celsius: 61, A: -8.11, rev/s: +0.067,  rev: +5.850
