2024/04/15 15:22:12 ID: 241, Data: 9C3E1203FAFF3307, Celsius: 62, A: +7.86, rev/s: -0.017,  rev: +5.119
2024/04/15 15:22:12 ID: 241, Data: 9C3E13030E003407, Celsius: 62, A: +7.87, rev/s: +0.039,  rev: +5.122
2024/04/15 15:22:12 ID: 241, Data: 9C3F150302003407, Celsius: 63, A: +7.89, rev/s: +0.006,  rev: +5.122
2024/04/15 15:22:12 ID: 241, Data: 9C3F1203F6FF3307, Celsius: 63, A: +7.86, rev/s: -0.028,  rev: +5.119
2024/04/15 15:22:12 ID: 241, Data: 9C3F1103E9FF3307, Celsius: 63, A: +7.85, rev/s: -0.064,  rev: +5.119
2024/04/15 15:22:13 ID: 241, Data: 9C401203F7FF3307, Celsius: 64, A: +7.86, rev/s: -0.025,  rev: +5.119
2024/04/15 15:22:13 ID: 241, Data: 9C400F03E4FF3307, Celsius: 64, A: +7.83, rev/s: -0.078,  rev: +5.119
2024/04/15 15:22:13 ID: 241, Data: 9C400E03F9FF3307, Celsius: 64, A: +7.82, rev/s: -0.019,  rev: +5.119
2024/04/15 15:22:13 ID: 241, Data: 9C401103EDFF3307, Celsius: 64, A: +7.85, rev/s: -0.053,  rev: +5.119
2024/04/15 15:22:13 ID: 241, Data: 9C411203FDFF3407, Celsius: 65, A: +7.86, rev/s: -0.008,  rev: +5.122
2024/04/15 15:22:13 ID: 241, Data: 9C41140317003407, Celsius: 65, A: +7.88, rev/s: +0.064,  rev: +5.122
2024/04/15 15:22:13 ID: 241, Data: 9C413503BB003807, Celsius: 65, A: +8.21, rev/s: +0.519,  rev: +5.133
2024/04/15 15:22:13 ID: 241, Data: 9C42280329004307, Celsius: 66, A: +8.08, rev/s: +0.114,  rev: +5.164
2024/04/15 15:22:13 ID: 241, Data: 9C42F402E9005007, Celsius: 66, A: +7.56, rev/s: +0.647,  rev: +5.200
2024/04/15 15:22:13 ID: 241, Data: 9C420F0188058B07, Celsius: 66, A: +2.71, rev/s: +3.933,  rev: +5.364
2024/04/15 15:22:14 ID: 241, Data: 9C42CE02B801C207, Celsius: 66, A: +7.18, rev/s: +1.222,  rev: +5.517
2024/04/15 15:22:14 ID: 241, Data: 9C43340129050F08, Celsius: 67, A: +3.08, rev/s: +3.669,  rev: +5.731
2024/04/15 15:22:14 ID: 241, Data: 9C435E022E024408, Celsius: 67, A: +6.06, rev/s: +1.550,  rev: +5.878
2024/04/15 15:22:14 ID: 241, Data: 9C427F02D9019208, Celsius: 66, A: +6.39, rev/s: +1.314,  rev: +6.094
2024/04/15 15:22:14 ID: 241, Data: 9C43F2020C00A608, Celsius: 67, A: +7.54, rev/s: +0.033,  rev: +6.150
2024/04/15 15:22:14 ID: 241, Data: 9C431903E0FFA808, Celsius: 67, A: +7.93, rev/s: -0.089,  rev: +6.156
2024/04/15 15:22:14 ID: 241, Data: 9C4421030500A908, Celsius: 68, A: +8.01, rev/s: +0.014,  rev: +6.158
2024/04/15 15:22:14 ID: 241, Data: 9C4424030200A908, Celsius: 68, A: +8.04, rev/s: +0.006,  rev: +6.158
2024/04/15 15:22:14 ID: 241, Data: 9C442603F5FFA908, Celsius: 68, A: +8.06, rev/s: -0.031,  rev: +6.158
2024/04/15 15:22:14 ID: 241, Data: 9C4426031600A908, Celsius: 68, A: +8.06, rev/s: +0.061,  rev: +6.158
2024/04/15 15:22:15 ID: 241, Data: 9C4425030700A908, Celsius: 68, A: +8.05, rev/s: +0.019,  rev: +6.158
2024/04/15 15:22:15 ID: 241, Data: 9C442B03E4FFA908, Celsius: 68, A: +8.11, rev/s: -0.078,  rev: +6.158
2024/04/15 15:22:15 ID: 241, Data: 9C4428030F00A908, Celsius: 68, A: +8.08, rev/s: +0.042,  rev: +6.158
2024/04/15 15:22:15 ID: 241, Data: 9C452D031000A908, Celsius: 69, A: +8.13, rev/s: +0.044,  rev: +6.158
2024/04/15 15:22:15 ID: 241, Data: 9C452E030400A908, Celsius: 69, A: +8.14, rev/s: +0.011,  rev: +6.158
2024/04/15 15:22:15 ID: 241, Data: 9C452C03FFFFA908, Celsius: 69, A: +8.12, rev/s: -0.003,  rev: +6.158
2024/04/15 15:22:15 ID: 241, Data: 9C4533030300A908, Celsius: 69, A: +8.19, rev/s: +0.008,  rev: +6.158
2024/04/15 15:22:15 ID: 241, Data: 9C453803F7FFA908, Celsius: 69, A: +8.24, rev/s: -0.025,  rev: +6.158
2024/04/15 15:22:15 ID: 241, Data: 9C452D031200AC08, Celsius: 69, A: +8.13, rev/s: +0.050,  rev: +6.167
2024/04/15 15:22:15 ID: 241, Data: 9C46C502D800B808, Celsius: 70, A: +7.09, rev/s: +0.600,  rev: +6.200
2024/04/15 15:22:16 ID: 241, Data: 9C46F2007405ED08, Celsius: 70, A: +2.42, rev/s: +3.878,  rev: +6.347
2024/04/15 15:22:16 ID: 241, Data: 9C46FB02AF012F09, Celsius: 70, A: +7.63, rev/s: +1.197,  rev: +6.531
2024/04/15 15:22:16 ID: 241, Data: 9C468C02E9018409, Celsius: 70, A: +6.52, rev/s: +1.358,  rev: +6.767
2024/04/15 15:22:16 ID: 241, Data: 9C47DA029000A409, Celsius: 71, A: +7.30, rev/s: +0.400,  rev: +6.856
2024/04/15 15:22:16 ID: 241, Data: 9C475201E604D609, Celsius: 71, A: +3.38, rev/s: +3.483,  rev: +6.994
2024/04/15 15:22:16 ID: 241, Data: 9C47C8029B011F0A, Celsius: 71, A: +7.12, rev/s: +1.142,  rev: +7.197
2024/04/15 15:22:16 ID: 241, Data: 9C488C02D1017A0A, Celsius: 72, A: +6.52, rev/s: +1.292,  rev: +7.450
2024/04/15 15:22:16 ID: 241, Data: 9C47D10273019B0A, Celsius: 71, A: +7.21, rev/s: +1.031,  rev: +7.542
2024/04/15 15:22:16 ID: 241, Data: 9C4877015204DB0A, Celsius: 72, A: +3.75, rev/s: +3.072,  rev: +7.719
2024/04/15 15:22:17 ID: 241, Data: 9C47810280010D0B, Celsius: 71, A: +6.41, rev/s: +1.067,  rev: +7.858
2024/04/15 15:22:17 ID: 241, Data: 9C48D701C003530B, Celsius: 72, A: +4.71, rev/s: +2.667,  rev: +8.053
2024/04/15 15:22:17 ID: 241, Data: 9C482E0335007C0B, Celsius: 72, A: +8.14, rev/s: +0.147,  rev: +8.167
2024/04/15 15:22:17 ID: 241, Data: 9C48EA021300840B, Celsius: 72, A: +7.46, rev/s: +0.053,  rev: +8.189
2024/04/15 15:22:17 ID: 241, Data: 9C48EC02E7FF840B, Celsius: 72, A: +7.48, rev/s: -0.069,  rev: +8.189
2024/04/15 15:22:17 ID: 241, Data: 9C48EA02FFFF840B, Celsius: 72, A: +7.46, rev/s: -0.003,  rev: +8.189
2024/04/15 15:22:17 ID: 241, Data: 9C48EB02F8FF840B, Celsius: 72, A: +7.47, rev/s: -0.022,  rev: +8.189
2024/04/15 15:22:17 ID: 241, Data: 9C48EA020700840B, Celsius: 72, A: +7.46, rev/s: +0.019,  rev: +8.189
2024/04/15 15:22:17 ID: 241, Data: 9C47EA02F5FF840B, Celsius: 71, A: +7.46, rev/s: -0.031,  rev: +8.189
2024/04/15 15:22:17 ID: 241, Data: 9C48EA02F0FF840B, Celsius: 72, A: +7.46, rev/s: -0.044,  rev: +8.189
2024/04/15 15:22:18 ID: 241, Data: 9C48EB02F3FF840B, Celsius: 72, A: +7.47, rev/s: -0.036,  rev: +8.189
2024/04/15 15:22:18 ID: 241, Data: 9C49EA020000840B, Celsius: 73, A: +7.46, rev/s: +0.000,  rev: +8.189
2024/04/15 15:22:18 ID: 241, Data: 9C48E8021400840B, Celsius: 72, A: +7.44, rev/s: +0.056,  rev: +8.189
2024/04/15 15:22:18 ID: 241, Data: 9C48E702FEFF840B, Celsius: 72, A: +7.43, rev/s: -0.006,  rev: +8.189
2024/04/15 15:22:18 ID: 241, Data: 9C48E9020000840B, Celsius: 72, A: +7.45, rev/s: +0.000,  rev: +8.189
2024/04/15 15:22:18 ID: 241, Data: 9C49E802E6FF840B, Celsius: 73, A: +7.44, rev/s: -0.072,  rev: +8.189
2024/04/15 15:22:18 ID: 241, Data: 9C49E9020900840B, Celsius: 73, A: +7.45, rev/s: +0.025,  rev: +8.189
2024/04/15 15:22:18 ID: 241, Data: 9C49E7020600840B, Celsius: 73, A: +7.43, rev/s: +0.017,  rev: +8.189
2024/04/15 15:22:18 ID: 241, Data: 9C49E702FBFF840B, Celsius: 73, A: +7.43, rev/s: -0.014,  rev: +8.189
2024/04/15 15:22:18 ID: 241, Data: 9C49E7021600840B, Celsius: 73, A: +7.43, rev/s: +0.061,  rev: +8.189
2024/04/15 15:22:19 ID: 241, Data: 9C49E702E4FF840B, Celsius: 73, A: +7.43, rev/s: -0.078,  rev: +8.189
2024/04/15 15:22:19 ID: 241, Data: 9C49E7020D00840B, Celsius: 73, A: +7.43, rev/s: +0.036,  rev: +8.189
2024/04/15 15:22:19 ID: 241, Data: 9C49E602FCFF840B, Celsius: 73, A: +7.42, rev/s: -0.011,  rev: +8.189
2024/04/15 15:22:19 ID: 241, Data: 9C49E702F0FF840B, Celsius: 73, A: +7.43, rev/s: -0.044,  rev: +8.189
2024/04/15 15:22:19 ID: 241, Data: 9C49E4021D00840B, Celsius: 73, A: +7.40, rev/s: +0.081,  rev: +8.189
2024/04/15 15:22:19 ID: 241, Data: 9C4AE4020900840B, Celsius: 74, A: +7.40, rev/s: +0.025,  rev: +8.189
2024/04/15 15:22:19 ID: 241, Data: 9C4AE4020500840B, Celsius: 74, A: +7.40, rev/s: +0.014,  rev: +8.189
2024/04/15 15:22:19 ID: 241, Data: 9C4AE6020100840B, Celsius: 74, A: +7.42, rev/s: +0.003,  rev: +8.189
2024/04/15 15:22:19 ID: 241, Data: 9C4AE302EAFF840B, Celsius: 74, A: +7.39, rev/s: -0.061,  rev: +8.189
2024/04/15 15:22:19 ID: 241, Data: 9C4AE2020800840B, Celsius: 74, A: +7.38, rev/s: +0.022,  rev: +8.189
2024/04/15 15:22:20 ID: 241, Data: 9C4AE3021400840B, Celsius: 74, A: +7.39, rev/s: +0.056,  rev: +8.189
