2024/04/15 15:32:38 ID: 241, Data: 9C3B1F03F2FF7C12, Celsius: 59, A: +7.99, rev/s: -0.039,  rev: +13.144
2024/04/15 15:32:38 ID: 241, Data: 9C3B1E03FAFF7C12, Celsius: 59, A: +7.98, rev/s: -0.017,  rev: +13.144
2024/04/15 15:32:38 ID: 241, Data: 9C3B2103F4FF7C12, Celsius: 59, A: +8.01, rev/s: -0.033,  rev: +13.144
2024/04/15 15:32:38 ID: 241, Data: 9C3B23031A007C12, Celsius: 59, A: +8.03, rev/s: +0.072,  rev: +13.144
2024/04/15 15:32:38 ID: 241, Data: 9C3B2503F3FF7C12, Celsius: 59, A: +8.05, rev/s: -0.036,  rev: +13.144
2024/04/15 15:32:39 ID: 241, Data: 9C3B36034E007D12, Celsius: 59, A: +8.22, rev/s: +0.217,  rev: +13.147
2024/04/15 15:32:39 ID: 241, Data: 9C3B2D03CE008212, Celsius: 59, A: +8.13, rev/s: +0.572,  rev: +13.161
2024/04/15 15:32:39 ID: 241, Data: 9C3BE5020B008C12, Celsius: 59, A: +7.41, rev/s: +0.031,  rev: +13.189
2024/04/15 15:32:39 ID: 241, Data: 9C3BD002AC01A012, Celsius: 59, A: +7.20, rev/s: +1.189,  rev: +13.244
2024/04/15 15:32:39 ID: 241, Data: 9C3B10027E02F412, Celsius: 59, A: +5.28, rev/s: +1.772,  rev: +13.478
2024/04/15 15:32:39 ID: 241, Data: 9C3B6C0189044C13, Celsius: 59, A: +3.64, rev/s: +3.225,  rev: +13.722
2024/04/15 15:32:39 ID: 241, Data: 9C3BAE0284017213, Celsius: 59, A: +6.86, rev/s: +1.078,  rev: +13.828
2024/04/15 15:32:39 ID: 241, Data: 9C3B1C0305007813, Celsius: 59, A: +7.96, rev/s: +0.014,  rev: +13.844
2024/04/15 15:32:39 ID: 241, Data: 9C3B290311007913, Celsius: 59, A: +8.09, rev/s: +0.047,  rev: +13.847
2024/04/15 15:32:39 ID: 241, Data: 9C3BFC0279008413, Celsius: 59, A: +7.64, rev/s: +0.336,  rev: +13.878
2024/04/15 15:32:40 ID: 241, Data: 9C3BDF017803C713, Celsius: 59, A: +4.79, rev/s: +2.467,  rev: +14.064
2024/04/15 15:32:40 ID: 241, Data: 9C3CE7FFB0FEDD13, Celsius: 60, A: -0.25, rev/s: -0.933,  rev: +14.125
2024/04/15 15:32:40 ID: 241, Data: 9C3C7F00F5FFB213, Celsius: 60, A: +1.27, rev/s: -0.031,  rev: +14.006
2024/04/15 15:32:40 ID: 241, Data: 9C3C4A00F9FFB413, Celsius: 60, A: +0.74, rev/s: -0.019,  rev: +14.011
2024/04/15 15:32:40 ID: 241, Data: 9C3C08000E00B313, Celsius: 60, A: +0.08, rev/s: +0.039,  rev: +14.008
2024/04/15 15:32:40 ID: 241, Data: 9C3CBDFFFEFFB213, Celsius: 60, A: -0.67, rev/s: -0.006,  rev: +14.006
2024/04/15 15:32:40 ID: 241, Data: 9C3C8A001900AB13, Celsius: 60, A: +1.38, rev/s: +0.069,  rev: +13.986
2024/04/15 15:32:40 ID: 241, Data: 9C3CBE001300AE13, Celsius: 60, A: +1.90, rev/s: +0.053,  rev: +13.994
